"","pid","yearbuilt"
"1329","10581","1965"
"1330","10582","1960"
"1331","105828","2010"
"1332","105829","2010"
"1333","10583","1969"
"1334","105830","2010"
"1335","105831","2010"
"1336","105832","2010"
"1337","105833","2010"
"1338","105834","2010"
"1339","105835","2010"
"1340","105836","2010"
"1341","105837","2010"
"1342","105838","2010"
"1343","105839","2010"
"1344","10584",""
"1345","105840","2010"
"1346","105841","2010"
"1347","105842","2010"
"1348","105843","2010"
"1349","105844",""
"1350","105845",""
"1351","105846","2010"
"1352","105847","2010"
"1353","105848","2010"
"1354","105849","2010"
"1355","10585","1990"
"1356","105850","2010"
"1357","105851","2010"
"1358","105852","2010"
"1359","105853","2010"
"1360","105854","2010"
"1361","105855","2010"
"1362","105856","2010"
"1363","105857","2010"
"1364","105858","2010"
"1365","105859","2010"
"1366","10586","1973"
"1367","105860","2010"
"1368","105861","2010"
"1369","105862","2010"
"1370","105863","2010"
"1371","105864","2010"
"1372","105865","2010"
"1373","105866","2010"
"1374","105867","2010"
"1375","105868","2010"
"1376","105869",""
"1377","10587","1973"
"1378","10588","1973"
"1379","105889",""
"1380","10589",""
"1381","1059","1945"
"1382","10590","1970"
"1383","105909",""
"1384","10591","1962"
"1385","105910",""
"1386","10592",""
"1387","10593","1970"
"1388","105930",""
"1389","105931",""
"1390","105933","2007"
