"pid","location","ggmap","census"
529,"77 TOWNSEND TER","cec82","dk762"
530,"85 TOWNSEND TER","cec82","dk762"
531,"91 TOWNSEND TER","cec82","dk762"
532,"99 TOWNSEND TER","cec82","dk762"
533,"105 TOWNSEND TER","cec82","dk762"
534,"111 TOWNSEND TER","cec82","dk762"
535,"220 HYDE ST","cec82","dk762"
536,"15 TOLLI TER","cec82","dk762"
537,"19 TOLLI TER","cec82","dk762"
538,"27 TOLLI TER","cec82","dk762"
539,"35 TOLLI TER","cec82","dk762"
540,"43 TOLLI TER","cec82","dk762"
541,"59 TOLLI TER","cec82","dk762"
542,"52 TOLLI TER","cec82","dk762"
543,"48 TOLLI TER","cec82","dk762"
544,"40 TOLLI TER","cec82","dk762"
545,"30 TOLLI TER","cec82","dk762"
546,"20 TOLLI TER","cec82","dk762"
547,"10 TOLLI TER","cec82","dk762"
548,"4 TOLLI TER","cec82","dk762"
549,"503 TOWNSEND AV","cec82","dk762"
550,"STUYVESANT AV","cec82","dk762"
551,"21 STUYVESANT AV","cec82","dk762"
552,"27 STUYVESANT AV","cec82","dk762"
553,"33 STUYVESANT AV","cec82","dk762"
554,"41 STUYVESANT AV","cec82","dk762"
555,"45 STUYVESANT AV","cec82","dk762"
556,"47 STUYVESANT AV","cec82","dk762"
557,"53 STUYVESANT AV","cec82","dk762"
558,"57 STUYVESANT AV","cec82","dk762"
559,"61 STUYVESANT AV","cec82","dk762"
560,"65 STUYVESANT AV","cec82","dk762"
561,"71 STUYVESANT AV","cec82","dk762"
562,"75 STUYVESANT AV","cec82","dk762"
563,"87 STUYVESANT AV","cec82","dk762"
564,"88 HYDE ST","cec82","dk762"
565,"82 HYDE ST","cec82","dk762"
566,"74 HYDE ST","cec82","dk762"
567,"76 GIRARD AV","cec82","dk762"
568,"70 GIRARD AV","cec82","dk762"
569,"64 GIRARD AV","cec82","dk762"
570,"56 GIRARD AV","cec82","dk762"
571,"52 GIRARD AV","cec82","dk762"
572,"48 GIRARD AV","cec82","dk762"
573,"44 GIRARD AV","cec82","dk762"
574,"38 GIRARD AV","cec82","dk762"
575,"32 GIRARD AV","cec82","dk762"
576,"24 GIRARD AV","cec82","dk762"
577,"18 GIRARD AV","cec82","dk762"
578,"483 TOWNSEND AV","cec82","dk762"
579,"487 TOWNSEND AV","cec82","dk762"
580,"493 TOWNSEND AV","cec82","dk762"
581,"497 TOWNSEND AV","cec82","dk762"
582,"565 TOWNSEND AV","cec82","dk762"
583,"255 FORT HALE RD","cec82","dk762"
584,"267 FORT HALE RD","cec82","dk762"
585,"287 FORT HALE RD","cec82","dk762"
586,"303 FORT HALE RD","cec82","dk762"
587,"315 FORT HALE RD","cec82","dk762"
588,"325 FORT HALE RD","cec82","dk762"
589,"339 FORT HALE RD","cec82","dk762"
590,"355 FORT HALE RD","cec82","dk762"
591,"369 FORT HALE RD","cec82","dk762"
592,"387 FORT HALE RD","cec82","dk762"
593,"405 FORT HALE RD","cec82","dk762"
594,"425 FORT HALE RD","cec82","dk762"
595,"136 HYDE ST","cec82","dk762"
